locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sudilovsky_00114	CDS	864	tesB	3.1.2.20	COG1946	Acyl-CoA thioesterase 2
Sudilovsky_00115	CDS	582	ybaY		COG3126	putative lipoprotein YbaY
Sudilovsky_00116	CDS	321	atl		COG3695	DNA base-flipping protein
Sudilovsky_00117	misc_RNA	97				Bacteria_small_SRP
Sudilovsky_00118	CDS	183				hypothetical protein
Sudilovsky_00119	CDS	204	ymoA			Modulating protein YmoA
Sudilovsky_00120	CDS	369	tomB			Hha toxicity modulator TomB
Sudilovsky_00121	CDS	144	ykgO		COG0257	Large ribosomal subunit protein bL36B
Sudilovsky_00122	CDS	249	rpmE2		COG0254	Large ribosomal subunit protein bL31B
Sudilovsky_00123	CDS	3129	acrB_1			multidrug efflux RND transporter permease subunit AcrB
Sudilovsky_00124	CDS	1194	acrA		COG0845	Multidrug efflux pump subunit AcrA
Sudilovsky_00125	CDS	702	acrR		COG1309	HTH-type transcriptional regulator AcrR
Sudilovsky_00126	CDS	171				hypothetical protein
Sudilovsky_00127	CDS	537	priC			Replication restart protein PriC
Sudilovsky_00128	CDS	396	ybaN		COG2832	Inner membrane protein YbaN
Sudilovsky_00129	CDS	555	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
Sudilovsky_00130	CDS	2088	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
Sudilovsky_00131	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
Sudilovsky_00132	CDS	606	recR		COG0353	Recombination protein RecR
Sudilovsky_00133	CDS	1890	htpG		COG0326	Chaperone protein HtpG
Sudilovsky_00134	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
Sudilovsky_00135	CDS	963	hemH	4.98.1.1	COG0276	Ferrochelatase
Sudilovsky_00136	CDS	1686	ybaL		COG1226	Putative cation/proton antiporter YbaL
Sudilovsky_00137	CDS	1650	ushA		COG0737	Protein UshA
Sudilovsky_00138	CDS	2019				hypothetical protein
Sudilovsky_00139	CDS	2034				hypothetical protein
Sudilovsky_00140	CDS	2028				hypothetical protein
Sudilovsky_00141	CDS	2154	btsT		COG1966	Pyruvate/proton symporter BtsT
Sudilovsky_00142	CDS	204				hypothetical protein
Sudilovsky_00143	CDS	987	yjiA	3.6.5.-	COG0523	Zinc chaperone YjiA
Sudilovsky_00144	CDS	1383				hypothetical protein
Sudilovsky_00145	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
Sudilovsky_00146	CDS	819				hypothetical protein
Sudilovsky_00147	CDS	183				hypothetical protein
Sudilovsky_00148	CDS	432				hypothetical protein
Sudilovsky_00149	CDS	2724	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
Sudilovsky_00150	CDS	408	cueR_1			HTH-type transcriptional regulator CueR
Sudilovsky_00151	CDS	456	ybbJ		COG1585	Inner membrane protein YbbJ
Sudilovsky_00152	CDS	915	qmcA		COG0330	Protein QmcA
Sudilovsky_00153	CDS	879				hypothetical protein
Sudilovsky_00154	CDS	1617				hypothetical protein
Sudilovsky_00155	CDS	348				hypothetical protein
Sudilovsky_00156	CDS	207				hypothetical protein
Sudilovsky_00157	CDS	351				hypothetical protein
Sudilovsky_00158	CDS	261	ascD	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
Sudilovsky_00159	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
Sudilovsky_00160	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
Sudilovsky_00161	CDS	720	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
Sudilovsky_00162	CDS	2721	gyrA			DNA gyrase subunit A GyrA
Sudilovsky_00163	CDS	2787	rcsC	2.7.13.3	COG0784	Sensor histidine kinase RcsC
Sudilovsky_00164	misc_RNA	489				Rev24
Sudilovsky_00165	CDS	651	rcsB_1			Transcriptional regulatory protein RcsB
Sudilovsky_00166	CDS	2685	rcsD	2.7.2.-	COG0642	Phosphotransferase RcsD
Sudilovsky_00167	CDS	1170	ybjJ_1		COG0738	Inner membrane protein YbjJ
Sudilovsky_00168	CDS	1323	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
Sudilovsky_00169	CDS	1683	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
Sudilovsky_00170	CDS	831	menH_2	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Sudilovsky_00171	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
Sudilovsky_00172	CDS	972	menC_1	4.2.1.113		o-succinylbenzoate synthase
Sudilovsky_00173	CDS	1485	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
Sudilovsky_00174	CDS	210				hypothetical protein
Sudilovsky_00175	CDS	540				hypothetical protein
Sudilovsky_00176	CDS	1149	tyrP		COG0814	Tyrosine-specific transport system
Sudilovsky_00177	CDS	1194				hypothetical protein
Sudilovsky_00178	CDS	861	cnoX		COG3118	Chaperedoxin
Sudilovsky_00179	CDS	771	capC	1.1.1.-		NADPH-dependent 3-dehydrocapnine reductase
Sudilovsky_00180	CDS	510	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
Sudilovsky_00181	CDS	732	lolD_1	7.6.2.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
Sudilovsky_00182	CDS	2430				hypothetical protein
Sudilovsky_00183	CDS	576	speG_1	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
Sudilovsky_00184	CDS	2127	cntO			Metal-pseudopaline receptor CntO
Sudilovsky_00185	CDS	1107	molA_1		COG0614	Molybdate-binding protein MolA
Sudilovsky_00186	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
Sudilovsky_00187	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
Sudilovsky_00188	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
Sudilovsky_00189	CDS	1290	uraA		COG2233	Uracil permease
Sudilovsky_00190	CDS	708	hda		COG0593	DnaA regulatory inactivator Hda
Sudilovsky_00191	CDS	369	yfgD		COG1393	putative protein YfgD
Sudilovsky_00192	CDS	1464	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
Sudilovsky_00193	CDS	468	bcp	1.11.1.24	COG1225	Peroxiredoxin Bcp
Sudilovsky_00194	CDS	552	gcvR		COG2716	Glycine cleavage system transcriptional repressor
Sudilovsky_00195	CDS	813	rhaS_1			HTH-type transcriptional activator RhaS
Sudilovsky_00196	CDS	363				hypothetical protein
Sudilovsky_00197	CDS	879	dapA_1	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
Sudilovsky_00198	CDS	1038	bamC		COG3317	Outer membrane protein assembly factor BamC
Sudilovsky_00199	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
Sudilovsky_00200	CDS	453				hypothetical protein
Sudilovsky_00201	CDS	2058	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
Sudilovsky_00202	CDS	372				hypothetical protein
Sudilovsky_00203	CDS	228				hypothetical protein
Sudilovsky_00204	CDS	618				hypothetical protein
Sudilovsky_00205	CDS	1671	tsr_1		COG0840	Methyl-accepting chemotaxis protein I
Sudilovsky_00206	CDS	195				hypothetical protein
Sudilovsky_00207	CDS	675				hypothetical protein
Sudilovsky_00208	CDS	1128	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
Sudilovsky_00209	CDS	378	yffB		COG1393	Protein YffB
Sudilovsky_00210	CDS	711	ygeA	5.1.1.13	COG1794	L-aspartate/glutamate-specific racemase
Sudilovsky_00211	misc_RNA	419				cspA
Sudilovsky_00212	CDS	210	cspE		COG1278	Cold shock-like protein CspE
Sudilovsky_00213	CDS	384	fluC		COG0239	Fluoride-specific ion channel FluC
Sudilovsky_00214	misc_RNA	105				Fluoride
Sudilovsky_00215	CDS	198	tatA_1		COG1826	Sec-independent protein translocase protein TatA
Sudilovsky_00216	CDS	756				hypothetical protein
Sudilovsky_00217	CDS	1245	ddeIM	2.1.1.37		Type II methyltransferase M.DdeI
Sudilovsky_00218	CDS	930				hypothetical protein
Sudilovsky_00219	CDS	2430				hypothetical protein
Sudilovsky_00220	CDS	237				hypothetical protein
Sudilovsky_00221	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
Sudilovsky_00222	CDS	684	lipB	2.3.1.181	COG0321	Octanoyltransferase
Sudilovsky_00223	CDS	264				hypothetical protein
Sudilovsky_00224	CDS	1212	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
Sudilovsky_00225	CDS	1125	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
Sudilovsky_00226	CDS	1113	mrdB	2.4.99.28	COG0772	Peptidoglycan glycosyltransferase MrdB
Sudilovsky_00227	CDS	1905	mdrA			peptidoglycan DD-transpeptidase MrdA
Sudilovsky_00228	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
Sudilovsky_00229	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
Sudilovsky_00230	CDS	690	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
Sudilovsky_00231	CDS	1026	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
Sudilovsky_00232	CDS	555	lptE		COG2980	LPS-assembly lipoprotein LptE
Sudilovsky_00233	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
Sudilovsky_00234	CDS	483				hypothetical protein
Sudilovsky_00235	CDS	726	gluA	7.4.2.1	COG1126	Glutamate transport ATP-binding protein GluA
Sudilovsky_00236	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
Sudilovsky_00237	CDS	741	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
Sudilovsky_00238	CDS	897	gltI		COG0834	Glutamate/aspartate import solute-binding protein
Sudilovsky_00239	CDS	1530	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
Sudilovsky_00240	CDS	879	corC		COG4535	Magnesium and cobalt efflux protein CorC
Sudilovsky_00241	CDS	480	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
Sudilovsky_00242	CDS	1059	ybeZ		COG1702	PhoH-like protein
Sudilovsky_00243	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
Sudilovsky_00244	CDS	1167	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
Sudilovsky_00245	CDS	630				hypothetical protein
Sudilovsky_00246	CDS	210				hypothetical protein
Sudilovsky_00247	CDS	504				hypothetical protein
Sudilovsky_00248	tRNA	75				tRNA-Gln(ctg)
Sudilovsky_00249	tRNA	77				tRNA-Met(cat)
Sudilovsky_00250	tRNA	75				tRNA-Gln(ttg)
Sudilovsky_00251	tRNA	75				tRNA-Gln(ttg)
Sudilovsky_00252	tRNA	85				tRNA-Leu(tag)
Sudilovsky_00253	tRNA	77				tRNA-Met(cat)
Sudilovsky_00254	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
Sudilovsky_00255	CDS	1224	nagC		COG1846	DNA-binding transcriptional dual regulator NagC
Sudilovsky_00256	CDS	1146	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
Sudilovsky_00257	CDS	801	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
Sudilovsky_00258	CDS	1497	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
Sudilovsky_00259	CDS	1659	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
Sudilovsky_00260	CDS	450	fur		COG0735	Ferric uptake regulation protein
Sudilovsky_00261	CDS	528	fldA		COG0716	Flavodoxin 1
Sudilovsky_00262	CDS	102				hypothetical protein
Sudilovsky_00263	CDS	1668				hypothetical protein
Sudilovsky_00264	CDS	282	ybfE			putative protein YbfE
Sudilovsky_00265	CDS	780	ybfF	3.1.-.-	COG0596	Esterase YbfF
Sudilovsky_00266	CDS	540	seqA		COG3057	Negative modulator of initiation of replication
Sudilovsky_00267	CDS	1644	pgm	5.4.2.2	COG0033	Phosphoglucomutase
Sudilovsky_00268	CDS	429				hypothetical protein
Sudilovsky_00269	CDS	681	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
Sudilovsky_00270	CDS	2763	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
Sudilovsky_00271	CDS	576	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
Sudilovsky_00272	CDS	2145	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
Sudilovsky_00273	CDS	1689	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
Sudilovsky_00274	CDS	207				hypothetical protein
Sudilovsky_00275	CDS	1656				hypothetical protein
Sudilovsky_00276	CDS	939			COG1840	putative protein
Sudilovsky_00277	CDS	693	msiK_1	7.5.2.-	COG3842	Diacetylchitobiose uptake system ATP-binding protein MsiK
Sudilovsky_00278	CDS	960				hypothetical protein
Sudilovsky_00279	CDS	1479	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
Sudilovsky_00280	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
Sudilovsky_00281	CDS	657	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
Sudilovsky_00282	CDS	945	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
Sudilovsky_00283	CDS	738	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
Sudilovsky_00284	CDS	648	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
Sudilovsky_00285	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
Sudilovsky_00286	CDS	1287	gltA_1	2.3.3.16	COG0372	Citrate synthase
Sudilovsky_00287	CDS	378	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
Sudilovsky_00288	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
Sudilovsky_00289	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
Sudilovsky_00290	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
Sudilovsky_00291	CDS	2808	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
Sudilovsky_00292	CDS	1224	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
Sudilovsky_00293	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
Sudilovsky_00294	CDS	873	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
Sudilovsky_00295	CDS	1170				hypothetical protein
Sudilovsky_00296	CDS	1569	cydA_1	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
Sudilovsky_00297	CDS	1140	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
Sudilovsky_00298	CDS	117	cydX_1	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
Sudilovsky_00299	CDS	294				hypothetical protein
Sudilovsky_00300	CDS	405	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
Sudilovsky_00301	CDS	687	tolQ_1		COG0811	Tol-Pal system protein TolQ
Sudilovsky_00302	CDS	426	tolR		COG0848	Tol-Pal system protein TolR
Sudilovsky_00303	CDS	1176				hypothetical protein
Sudilovsky_00304	CDS	1293	tolB_1		COG0823	Tol-Pal system protein TolB
Sudilovsky_00305	CDS	510	pal		COG2885	Peptidoglycan-associated lipoprotein
Sudilovsky_00306	CDS	777	cpoB		COG1729	Cell division coordinator CpoB
Sudilovsky_00307	tRNA	76				tRNA-Lys(ttt)
Sudilovsky_00308	tRNA	76				tRNA-Lys(ttt)
Sudilovsky_00309	CDS	105				hypothetical protein
Sudilovsky_00310	CDS	717	ydfK		COG1811	putative membrane protein YdfK
Sudilovsky_00311	CDS	399				hypothetical protein
Sudilovsky_00312	CDS	1062	nadA	2.5.1.72		Quinolinate synthase
Sudilovsky_00313	CDS	726	pnuC			Nicotinamide riboside transporter PnuC
Sudilovsky_00314	CDS	951	zitB		COG1230	Zinc transporter ZitB
Sudilovsky_00315	CDS	1056	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
Sudilovsky_00316	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
Sudilovsky_00317	CDS	3138	silA			Cu(+)/Ag(+) efflux RND transporter permease subunit SilA
Sudilovsky_00318	CDS	1503	cusB		COG0845	Cation efflux system protein CusB
Sudilovsky_00319	CDS	1260				hypothetical protein
Sudilovsky_00320	CDS	354	cusF		COG5569	Cation efflux system protein CusF
Sudilovsky_00321	CDS	453				hypothetical protein
Sudilovsky_00322	CDS	1047	galM	5.1.3.3	COG2017	Aldose 1-epimerase
Sudilovsky_00323	CDS	1020	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
Sudilovsky_00324	CDS	1476	modF		COG1119	ABC transporter ATP-binding protein ModF
Sudilovsky_00325	CDS	846	modE		COG2005	DNA-binding transcriptional dual regulator ModE
Sudilovsky_00326	CDS	156	acrZ			Multidrug efflux pump accessory protein AcrZ
Sudilovsky_00327	CDS	771	modA		COG0725	Molybdate-binding protein ModA
Sudilovsky_00328	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
Sudilovsky_00329	CDS	1059	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
Sudilovsky_00330	CDS	864	iolE_1	4.2.1.44		Inosose dehydratase
Sudilovsky_00331	CDS	981	rbsR_1		COG1609	Ribose operon repressor
